"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound_P","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year","BasePolicy"
"Sep",2,"Friday","Mazda","Urban","Sunday","Sep",2,"Male","Single",27,"Third Party","Sport - Collision","Sport","more than 69000",0,592,10,400,3,"more than 30","more than 30","none","2 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Aug",2,"Sunday","Honda","Urban","Monday","Nov",4,"Male","Married",46,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,792,2,400,3,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"Jul",2,"Wednesday","Pontiac","Urban","Monday","Jul",3,"Male","Married",42,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,626,7,400,2,"more than 30","more than 30","none","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jan",4,"Sunday","Mazda","Urban","Tuesday","Jan",5,"Male","Married",38,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,128,13,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Feb",4,"Wednesday","Chevrolet","Urban","Monday","Mar",2,"Male","Married",52,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,473,11,400,1,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"Sep",2,"Tuesday","Pontiac","Urban","Friday","Jan",4,"Male","Married",49,"Policy Holder","Utility - Collision","Utility","40000 to 59000",0,62,6,400,4,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Mar",5,"Thursday","Pontiac","Urban","Monday","May",3,"Male","Married",45,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",0,732,15,400,2,"none","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Dec",5,"Wednesday","Honda","Urban","Tuesday","Jan",1,"Female","Single",21,"Policy Holder","Sport - Liability","Sport","more than 69000",0,1,12,300,1,"more than 30","more than 30","none","3 years","26 to 30","No","No","External","none","1 year","3 to 4",1994,"Liability"
"Nov",2,"Saturday","Mazda","Urban","Friday","Nov",3,"Female","Married",45,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,894,13,400,2,"more than 30","more than 30","none","6 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"Oct",5,"Saturday","Pontiac","Urban","Monday","Oct",5,"Male","Married",74,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,89,13,400,4,"more than 30","more than 30","none","7 years","over 65","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Jul",3,"Monday","Honda","Urban","Tuesday","Jul",3,"Male","Married",51,"Policy Holder","Sport - Collision","Sport","more than 69000",0,141,11,400,4,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Dec",4,"Thursday","Pontiac","Urban","Friday","Mar",3,"Male","Married",37,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,660,11,400,4,"15 to 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jan",3,"Monday","Chevrolet","Rural","Wednesday","Jan",3,"Male","Married",42,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",1,650,2,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Dec",5,"Saturday","VW","Urban","Wednesday","Jan",1,"Male","Married",49,"Policy Holder","Sedan - Collision","Sedan","more than 69000",0,257,5,400,3,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Sep",3,"Thursday","VW","Urban","Friday","Sep",3,"Male","Married",50,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,697,16,400,4,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",1,"Tuesday","Honda","Urban","Wednesday","Jan",4,"Male","Single",28,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",1,386,7,400,3,"more than 30","more than 30","none","new","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jul",2,"Tuesday","Toyota","Urban","Wednesday","Jul",2,"Male","Married",36,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,715,14,500,1,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","2 to 3 years","2 vehicles",1994,"Collision"
"May",4,"Thursday","Pontiac","Urban","Monday","May",5,"Male","Single",32,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,19,6,400,1,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Dec",2,"Tuesday","Chevrolet","Rural","Tuesday","Mar",1,"Male","Married",27,"Policy Holder","Utility - Liability","Utility","more than 69000",0,86,4,400,4,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Dec",3,"Sunday","Saab","Rural","Wednesday","Jun",3,"Male","Married",33,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,844,15,400,4,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Oct",3,"Tuesday","Honda","Urban","Tuesday","Oct",4,"Male","Married",38,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,716,7,400,3,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jul",2,"Sunday","Toyota","Urban","Wednesday","Aug",5,"Female","Single",28,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,378,12,400,4,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"Sep",2,"Monday","Toyota","Urban","Tuesday","Sep",2,"Male","Married",38,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,655,6,400,1,"more than 30","more than 30","more than 4","6 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"May",2,"Monday","Pontiac","Urban","Thursday","May",2,"Male","Single",31,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,112,6,400,3,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Apr",5,"Saturday","Mazda","Urban","Tuesday","May",1,"Male","Married",60,"Third Party","Sedan - Collision","Sedan","more than 69000",0,75,12,400,3,"more than 30","more than 30","more than 4","7 years","51 to 65","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Sep",5,"Friday","Mazda","Rural","Friday","Sep",5,"Male","Married",26,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,601,3,400,3,"more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",1,"Thursday","Honda","Urban","Tuesday","Jan",2,"Male","Single",0,"Third Party","Sedan - Collision","Sedan","more than 69000",0,442,10,400,4,"more than 30","more than 30","none","new","16 to 17","No","No","External","none","4 to 8 years","2 vehicles",1994,"Collision"
"Oct",4,"Friday","Honda","Urban","Wednesday","Nov",1,"Male","Single",20,"Third Party","Sport - Collision","Sport","more than 69000",0,6,12,400,3,"more than 30","more than 30","none","5 years","21 to 25","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Oct",4,"Thursday","Pontiac","Urban","Friday","Oct",4,"Male","Married",44,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,423,15,400,2,"more than 30","more than 30","1","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jun",3,"Monday","Honda","Urban","Monday","Jun",3,"Male","Married",32,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,804,9,400,1,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Nov",3,"Sunday","Toyota","Urban","Monday","Nov",3,"Male","Married",50,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,830,13,400,4,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Sep",4,"Saturday","Honda","Urban","Monday","Sep",4,"Male","Married",30,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,796,12,400,3,"more than 30","more than 30","2 to 4","new","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",1,"Tuesday","VW","Urban","Wednesday","Mar",4,"Male","Married",44,"Third Party","Sedan - All Perils","Sedan","60000 to 69000",0,387,12,400,2,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Nov",5,"Tuesday","Mazda","Urban","Tuesday","Feb",1,"Female","Married",38,"Third Party","Sedan - All Perils","Sedan","less than 20000",0,561,13,400,4,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"Jan",4,"Friday","Mazda","Urban","Tuesday","Mar",1,"Male","Married",36,"Third Party","Sport - Collision","Sport","more than 69000",0,762,2,400,1,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"May",1,"Monday","Honda","Rural","Wednesday","May",4,"Male","Single",0,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,59,15,400,4,"more than 30","more than 30","none","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",2,"Monday","Toyota","Urban","Wednesday","Jan",2,"Male","Married",32,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,223,13,400,4,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jun",3,"Sunday","Toyota","Rural","Wednesday","Jul",2,"Male","Married",50,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,434,2,400,2,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Sep",2,"Tuesday","Chevrolet","Rural","Wednesday","Sep",3,"Male","Married",42,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,373,12,700,2,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Mar",4,"Tuesday","Toyota","Rural","Thursday","Mar",4,"Male","Married",26,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,750,14,400,2,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Feb",1,"Friday","Mazda","Urban","Friday","Feb",1,"Female","Married",41,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,525,3,400,2,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Sep",5,"Friday","Ford","Urban","Tuesday","Oct",2,"Male","Married",51,"Third Party","Sedan - Collision","Sedan","40000 to 59000",0,476,5,400,4,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Feb",3,"Monday","Chevrolet","Urban","Tuesday","Feb",4,"Male","Married",64,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,551,7,400,4,"8 to 15","15 to 30","none","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"May",3,"Saturday","Pontiac","Urban","Monday","May",3,"Male","Married",30,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,362,1,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Oct",4,"Tuesday","Chevrolet","Urban","Monday","Jan",1,"Male","Married",27,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,77,1,400,3,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Mar",2,"Wednesday","Toyota","Urban","Monday","Mar",2,"Female","Single",31,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,354,11,400,4,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Jan",1,"Tuesday","Honda","Urban","Friday","Jan",2,"Male","Single",0,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,288,11,400,4,"more than 30","more than 30","2 to 4","new","16 to 17","No","No","External","none","no change","3 to 4",1994,"Liability"
"May",4,"Monday","Mazda","Urban","Monday","May",4,"Male","Widow",50,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,150,15,400,4,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Mar",1,"Sunday","Pontiac","Urban","Friday","Mar",2,"Female","Married",52,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,199,4,400,4,"more than 30","more than 30","2 to 4","6 years","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"Feb",2,"Friday","Toyota","Rural","Friday","Feb",2,"Female","Married",45,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,363,8,400,3,"more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Apr",2,"Saturday","Honda","Urban","Monday","Apr",3,"Male","Single",35,"Policy Holder","Sport - Collision","Sport","more than 69000",0,503,9,400,4,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Nov",1,"Friday","VW","Urban","Friday","Nov",2,"Male","Married",52,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,350,1,400,1,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jan",3,"Monday","Pontiac","Urban","Tuesday","Jan",4,"Male","Married",26,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,252,10,400,1,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Mar",1,"Wednesday","Pontiac","Rural","Thursday","Mar",1,"Female","Single",37,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,237,3,400,4,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","Yes","External","more than 5","no change","1 vehicle",1994,"Collision"
"Jan",4,"Tuesday","Pontiac","Urban","Tuesday","Apr",1,"Male","Married",27,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",1,828,14,400,1,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Dec",5,"Saturday","Toyota","Urban","Tuesday","Jan",1,"Female","Married",47,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,258,12,400,1,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jan",4,"Friday","Pontiac","Urban","Monday","Jan",5,"Male","Married",36,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,100,10,400,1,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Aug",2,"Saturday","Pontiac","Urban","Tuesday","Aug",3,"Male","Single",30,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,898,2,400,1,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Sep",4,"Thursday","Chevrolet","Urban","Monday","Jan",5,"Female","Single",28,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,73,5,400,3,"15 to 30","more than 30","1","5 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Dec",5,"Tuesday","Honda","Urban","Tuesday","Jan",1,"Male","Married",33,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,286,8,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"Dec",1,"Friday","Pontiac","Urban","Tuesday","Dec",2,"Male","Single",48,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,65,1,400,1,"more than 30","more than 30","none","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Oct",2,"Tuesday","Ford","Urban","Tuesday","Oct",3,"Male","Married",47,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,426,9,400,2,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Jun",5,"Wednesday","Chevrolet","Rural","Monday","Jul",1,"Male","Married",37,"Third Party","Sedan - All Perils","Sedan","40000 to 59000",0,486,3,400,4,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"Mar",3,"Thursday","Chevrolet","Urban","Friday","Mar",3,"Male","Married",31,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,330,3,400,3,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"Dec",2,"Monday","Mazda","Urban","Monday","Jan",1,"Male","Married",43,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",1,190,10,400,2,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","none","4 to 8 years","2 vehicles",1994,"All Perils"
"Jan",3,"Friday","Honda","Urban","Monday","Jan",3,"Male","Married",65,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,167,8,400,2,"more than 30","more than 30","1","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Dec",3,"Friday","Pontiac","Urban","Tuesday","Jan",3,"Male","Married",41,"Third Party","Sedan - All Perils","Sedan","less than 20000",1,205,16,500,3,"none","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","2 to 3 years","1 vehicle",1994,"All Perils"
"Aug",4,"Saturday","Pontiac","Urban","Monday","Aug",5,"Male","Married",38,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,94,13,700,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Mar",4,"Monday","Mazda","Rural","Monday","Apr",2,"Female","Single",33,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,700,15,400,3,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jan",5,"Saturday","Pontiac","Urban","Monday","Jan",5,"Female","Married",35,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,102,10,400,4,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jun",4,"Saturday","Pontiac","Urban","Friday","Jul",3,"Male","Married",53,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,487,6,400,3,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Apr",5,"Sunday","Ford","Urban","Thursday","May",4,"Male","Married",37,"Third Party","Sedan - All Perils","Sedan","40000 to 59000",0,478,15,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jan",1,"Tuesday","Pontiac","Urban","Thursday","Jan",1,"Male","Single",31,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,105,12,400,4,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"May",4,"Saturday","Pontiac","Urban","Monday","May",4,"Male","Married",27,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,410,12,400,1,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Mar",2,"Thursday","Honda","Urban","Thursday","Mar",2,"Male","Married",50,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,570,4,400,3,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"May",3,"Thursday","Honda","Urban","Monday","May",4,"Male","Married",57,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,170,7,400,1,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Mar",1,"Friday","Saab","Urban","Thursday","Mar",2,"Male","Married",42,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,739,9,400,2,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","3 to 4",1994,"Liability"
"Oct",5,"Monday","Toyota","Urban","Wednesday","Nov",1,"Male","Married",46,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,459,3,400,2,"more than 30","more than 30","more than 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Aug",4,"Monday","Honda","Urban","Thursday","Mar",3,"Male","Single",0,"Policy Holder","Sedan - Collision","Sedan","more than 69000",0,244,7,400,1,"more than 30","more than 30","none","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Apr",2,"Monday","Mazda","Urban","Monday","Apr",2,"Male","Married",36,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,578,10,400,2,"more than 30","more than 30","none","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Nov",1,"Thursday","Toyota","Urban","Thursday","Nov",1,"Male","Married",32,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,449,13,400,2,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Apr",4,"Tuesday","Toyota","Urban","Tuesday","Apr",4,"Male","Married",32,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,780,10,400,4,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","3 to 5","no change","3 to 4",1994,"Collision"
"Feb",1,"Thursday","Chevrolet","Urban","Monday","Feb",1,"Male","Married",52,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,220,1,400,4,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Oct",2,"Monday","Accura","Urban","Tuesday","Oct",2,"Male","Married",45,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,490,5,400,4,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Feb",4,"Saturday","Chevrolet","Urban","Wednesday","Mar",2,"Male","Married",57,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,540,11,400,3,"more than 30","more than 30","2 to 4","7 years","51 to 65","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Oct",3,"Thursday","Mazda","Urban","Monday","Oct",4,"Male","Married",49,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,498,15,400,4,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Mar",1,"Wednesday","Mazda","Urban","Wednesday","Mar",1,"Male","Single",35,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,852,1,400,2,"more than 30","more than 30","2 to 4","4 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"May",4,"Monday","Pontiac","Rural","Thursday","May",4,"Male","Married",35,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,703,13,400,4,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jul",2,"Wednesday","Pontiac","Urban","Wednesday","Jul",2,"Male","Single",30,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,904,2,400,3,"more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","more than 5","4 to 8 years","2 vehicles",1994,"Collision"
"Jun",2,"Monday","Pontiac","Urban","Thursday","Jun",4,"Male","Married",33,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,231,13,400,1,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
