"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound_P","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year","BasePolicy"
"May",3,"Sunday","Accura","Urban","Friday","May",4,"Male","Married",42,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",0,28,1,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"Jul",1,"Saturday","Honda","Urban","Tuesday","Sep",4,"Male","Single",0,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",1,29,9,400,1,"more than 30","more than 30","none","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"May",3,"Monday","Mazda","Urban","Wednesday","May",4,"Female","Married",39,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,30,12,400,3,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Mar",2,"Friday","Dodge","Urban","Saturday","Mar",2,"Male","Married",47,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,31,2,400,1,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","Internal","none","no change","1 vehicle",1994,"Collision"
"Mar",1,"Sunday","Honda","Urban","Tuesday","Mar",2,"Male","Single",0,"Policy Holder","Sedan - Collision","Sedan","more than 69000",0,32,6,400,1,"more than 30","more than 30","1","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Mar",2,"Wednesday","Chevrolet","Urban","Wednesday","Mar",2,"Male","Single",42,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,33,2,400,3,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Jan",4,"Monday","Honda","Urban","Tuesday","Jan",4,"Male","Single",30,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,34,2,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Jan",4,"Tuesday","Ford","Urban","Wednesday","Jan",4,"Male","Married",42,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,35,12,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Oct",2,"Wednesday","Chevrolet","Urban","Thursday","Oct",2,"Male","Single",34,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,36,5,400,3,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Oct",2,"Tuesday","Honda","Urban","Thursday","Oct",3,"Male","Married",30,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,37,11,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Sep",2,"Friday","Mazda","Urban","Friday","Sep",3,"Male","Single",27,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,38,4,400,2,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Nov",4,"Tuesday","Honda","Urban","Thursday","Nov",4,"Male","Married",55,"Policy Holder","Sport - Collision","Sport","more than 69000",0,39,12,400,1,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Nov",4,"Thursday","Toyota","Urban","Tuesday","Jan",1,"Male","Married",35,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,40,1,400,3,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Mar",4,"Wednesday","Chevrolet","Urban","Wednesday","Apr",1,"Female","Married",35,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,41,11,400,1,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Mar",3,"Friday","Pontiac","Urban","Wednesday","Mar",4,"Male","Married",44,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,42,15,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","3 to 5","no change","3 to 4",1994,"All Perils"
"Jul",1,"Monday","Toyota","Urban","Monday","Jul",1,"Female","Single",42,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,43,12,400,4,"more than 30","more than 30","none","4 years","36 to 40","No","No","External","none","4 to 8 years","2 vehicles",1994,"Liability"
"Jan",3,"Tuesday","Honda","Urban","Monday","Jan",4,"Male","Married",41,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,44,5,400,2,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Jan",3,"Wednesday","Toyota","Urban","Wednesday","Jan",4,"Male","Married",72,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,45,16,400,1,"more than 30","more than 30","none","more than 7","over 65","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Feb",2,"Wednesday","Pontiac","Urban","Thursday","Feb",2,"Female","Married",29,"Third Party","Sedan - All Perils","Sedan","less than 20000",0,46,8,400,3,"more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Feb",2,"Thursday","Pontiac","Urban","Monday","Feb",3,"Male","Single",32,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,47,9,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","Internal","none","no change","1 vehicle",1994,"Collision"
"Nov",4,"Thursday","Mazda","Urban","Friday","Nov",4,"Male","Married",37,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,48,13,400,3,"more than 30","more than 30","2 to 4","5 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Apr",3,"Thursday","Chevrolet","Urban","Thursday","May",1,"Female","Married",37,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,49,10,400,1,"more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"Apr",3,"Friday","Pontiac","Urban","Tuesday","Apr",3,"Male","Married",59,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,50,9,400,4,"more than 30","more than 30","more than 4","more than 7","51 to 65","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"May",4,"Friday","Pontiac","Urban","Friday","May",4,"Male","Married",49,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,51,14,400,2,"more than 30","more than 30","more than 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jun",4,"Wednesday","Pontiac","Urban","Friday","Jun",4,"Male","Married",27,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,52,4,500,3,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","3 to 5","2 to 3 years","1 vehicle",1994,"Liability"
"Jul",3,"Sunday","Honda","Rural","Wednesday","Jan",4,"Male","Married",21,"Policy Holder","Sport - Collision","Sport","more than 69000",1,53,4,400,4,"more than 30","more than 30","none","4 years","26 to 30","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Jul",4,"Saturday","Honda","Urban","Wednesday","Aug",2,"Male","Married",50,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",1,54,13,400,1,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Jun",4,"Tuesday","Pontiac","Urban","Tuesday","Jun",4,"Male","Single",45,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,55,8,400,1,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Dec",3,"Monday","Mazda","Urban","Wednesday","Dec",3,"Male","Married",49,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,56,7,400,4,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Jun",4,"Friday","Honda","Urban","Thursday","Jun",5,"Male","Single",30,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,57,5,400,4,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Nov",2,"Friday","Accura","Urban","Monday","Nov",2,"Male","Single",37,"Policy Holder","Sedan - Collision","Sedan","more than 69000",0,58,11,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"May",1,"Monday","Honda","Rural","Wednesday","May",4,"Male","Single",0,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,59,15,400,4,"more than 30","more than 30","none","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"Liability"
"May",1,"Wednesday","Chevrolet","Urban","Monday","May",2,"Female","Single",27,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,60,4,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Nov",1,"Monday","Toyota","Urban","Monday","Nov",3,"Male","Single",30,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",0,61,5,400,4,"more than 30","more than 30","none","5 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Sep",2,"Tuesday","Pontiac","Urban","Friday","Jan",4,"Male","Married",49,"Policy Holder","Utility - Collision","Utility","40000 to 59000",0,62,6,400,4,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Nov",4,"Sunday","Honda","Urban","Friday","Jan",3,"Male","Single",0,"Third Party","Sedan - All Perils","Sedan","more than 69000",0,63,3,400,2,"more than 30","more than 30","2 to 4","new","16 to 17","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Feb",5,"Monday","Toyota","Urban","Tuesday","Mar",1,"Male","Married",26,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,64,13,400,3,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","4 to 8 years","2 vehicles",1994,"Liability"
"Dec",1,"Friday","Pontiac","Urban","Tuesday","Dec",2,"Male","Single",48,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,65,1,400,1,"more than 30","more than 30","none","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Dec",4,"Friday","Mazda","Urban","Monday","Jan",2,"Male","Single",31,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,66,6,400,3,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Mar",3,"Friday","Mercury","Urban","Friday","Mar",3,"Male","Single",40,"Third Party","Sedan - Collision","Sedan","more than 69000",0,67,16,400,2,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Aug",4,"Thursday","Mazda","Urban","Monday","Aug",5,"Male","Married",65,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,68,12,400,1,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Jan",1,"Sunday","Toyota","Urban","Tuesday","Jan",1,"Male","Married",64,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,69,5,400,1,"more than 30","more than 30","1","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jan",1,"Sunday","Honda","Urban","Wednesday","Jan",1,"Male","Married",55,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,70,12,400,2,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"Jan",1,"Sunday","Honda","Urban","Wednesday","Jan",1,"Male","Single",44,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,71,16,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"Jan",1,"Tuesday","Mazda","Urban","Thursday","Jan",1,"Male","Married",27,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,72,9,400,3,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"Sep",4,"Thursday","Chevrolet","Urban","Monday","Jan",5,"Female","Single",28,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,73,5,400,3,"15 to 30","more than 30","1","5 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jan",1,"Monday","Honda","Urban","Tuesday","Jan",1,"Male","Married",47,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,74,7,400,2,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Apr",5,"Saturday","Mazda","Urban","Tuesday","May",1,"Male","Married",60,"Third Party","Sedan - Collision","Sedan","more than 69000",0,75,12,400,3,"more than 30","more than 30","more than 4","7 years","51 to 65","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Aug",1,"Saturday","Ford","Urban","Wednesday","Aug",4,"Male","Married",33,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,76,9,400,4,"more than 30","more than 30","more than 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Oct",4,"Tuesday","Chevrolet","Urban","Monday","Jan",1,"Male","Married",27,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,77,1,400,3,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Feb",2,"Friday","Honda","Urban","Tuesday","Feb",3,"Female","Married",47,"Third Party","Sport - Collision","Sport","more than 69000",0,78,12,400,3,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Feb",2,"Friday","Jaguar","Rural","Tuesday","Feb",3,"Female","Single",29,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,79,16,400,1,"more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"Feb",4,"Saturday","Toyota","Urban","Friday","Mar",1,"Female","Married",33,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,80,10,400,1,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Jan",3,"Wednesday","Pontiac","Urban","Wednesday","Jan",3,"Male","Married",38,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,81,13,400,4,"more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Jan",3,"Thursday","Mazda","Urban","Friday","Jan",4,"Male","Single",37,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,82,6,400,2,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Dec",2,"Friday","Chevrolet","Urban","Thursday","Apr",3,"Male","Married",36,"Third Party","Sedan - All Perils","Sedan","more than 69000",0,83,13,400,4,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","3 to 4",1994,"All Perils"
"Nov",5,"Tuesday","Toyota","Urban","Friday","Feb",1,"Female","Married",44,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,84,9,400,4,"more than 30","more than 30","none","6 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"Dec",1,"Wednesday","Honda","Urban","Monday","Jan",1,"Male","Single",0,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,85,6,400,2,"more than 30","more than 30","more than 4","new","16 to 17","No","No","External","none","4 to 8 years","2 vehicles",1994,"Liability"
"Dec",2,"Tuesday","Chevrolet","Rural","Tuesday","Mar",1,"Male","Married",27,"Policy Holder","Utility - Liability","Utility","more than 69000",0,86,4,400,4,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"May",4,"Tuesday","Toyota","Urban","Wednesday","May",4,"Male","Single",27,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,87,14,400,3,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"May",4,"Sunday","Mazda","Urban","Wednesday","May",4,"Male","Single",39,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,88,1,400,2,"more than 30","more than 30","2 to 4","4 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"Oct",5,"Saturday","Pontiac","Urban","Monday","Oct",5,"Male","Married",74,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,89,13,400,4,"more than 30","more than 30","none","7 years","over 65","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"Oct",4,"Sunday","Honda","Urban","Monday","Oct",4,"Male","Single",23,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,90,8,400,2,"more than 30","more than 30","2 to 4","4 years","26 to 30","No","No","External","none","no change","1 vehicle",1994,"Liability"
"Oct",4,"Sunday","Honda","Urban","Tuesday","Oct",4,"Female","Single",25,"Third Party","Sport - Collision","Sport","more than 69000",0,91,2,400,1,"more than 30","more than 30","none","6 years","26 to 30","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Jan",2,"Wednesday","Pontiac","Urban","Wednesday","Jan",2,"Male","Single",38,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,92,13,400,2,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","3 to 5","1 year","1 vehicle",1994,"Liability"
"Jan",2,"Thursday","Honda","Urban","Monday","Jan",4,"Male","Married",41,"Policy Holder","Sedan - All Perils","Sedan","30000 to 39000",0,93,16,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Aug",4,"Saturday","Pontiac","Urban","Monday","Aug",5,"Male","Married",38,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,94,13,700,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Nov",2,"Thursday","Honda","Urban","Friday","Jan",3,"Male","Single",34,"Policy Holder","Sport - Collision","Sport","more than 69000",1,95,7,400,3,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"May",2,"Tuesday","Honda","Urban","Thursday","May",2,"Male","Married",61,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,96,15,400,4,"more than 30","more than 30","none","more than 7","51 to 65","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"Nov",2,"Friday","Toyota","Urban","Tuesday","Jan",1,"Male","Married",38,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",1,97,7,400,2,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"Jan",3,"Thursday","Toyota","Urban","Monday","Jan",4,"Male","Single",40,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,98,4,400,4,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Nov",3,"Monday","Pontiac","Urban","Wednesday","Jan",4,"Male","Married",41,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,99,12,400,4,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"Jan",4,"Friday","Pontiac","Urban","Monday","Jan",5,"Male","Married",36,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,100,10,400,1,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"All Perils"
